Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
562370,23311,VINTAGE CHRISTMAS STOCKING ,12,2011-08-04 14:20:00,2.55,12626.0,Germany
549301,22723,SET OF 6 HERB TINS SKETCHBOOK,4,2011-04-08 08:24:00,3.95,16643.0,United Kingdom
528355,22303,COFFEE MUG APPLES DESIGN,6,2010-10-21 14:47:00,2.55,,United Kingdom
547042,20735,BLACK MINI TAPE MEASURE ,30,2011-03-20 11:00:00,0.83,,United Kingdom
511522,22539,MINI JIGSAW DOLLY GIRL,1,2010-06-08 16:47:00,0.42,16072.0,United Kingdom
548516,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-03-31 16:28:00,9.96,,United Kingdom
510329,21221,SET/4 BADGES CUTE CREATURES,4,2010-05-28 13:23:00,1.25,17822.0,United Kingdom
568991,22866,HAND WARMER SCOTTY DOG DESIGN,1,2011-09-29 16:44:00,2.1,18204.0,United Kingdom
504437,21534,DAIRY MAID LARGE MILK JUG,12,2010-04-13 13:39:00,4.25,12957.0,United Kingdom
505709,21122,SET/10 PINK SPOTTY PARTY CANDLES,3,2010-04-25 12:34:00,1.25,13050.0,United Kingdom
C537656,21258,VICTORIAN SEWING BOX LARGE,-12,2010-12-07 16:21:00,10.95,15100.0,United Kingdom
563193,22139,RETROSPOT TEA SET CERAMIC 11 PC ,1,2011-08-12 16:30:00,10.79,,United Kingdom
514369,21206,STRAWBERRY HONEYCOMB  GARLAND ,12,2010-07-02 08:26:00,1.65,12477.0,Germany
571433,22193,RED DINER WALL CLOCK,2,2011-10-17 13:19:00,8.5,13015.0,United Kingdom
535421,21439,BASKET OF TOADSTOOLS,1,2010-11-26 11:50:00,1.25,13555.0,United Kingdom
570087,22079,RIBBON REEL HEARTS DESIGN ,6,2011-10-07 11:26:00,2.46,,United Kingdom
566123,23323,WHITE WICKER STAR ,1,2011-09-09 11:15:00,2.1,15039.0,United Kingdom
534051,21592,RETROSPOT CIGAR BOX MATCHES ,1,2010-11-21 10:17:00,1.25,17335.0,United Kingdom
538035,21494,ROTATING LEAVES T-LIGHT HOLDER,5,2010-12-09 13:03:00,1.25,16065.0,United Kingdom
544839,48185,DOORMAT FAIRY CAKE,2,2011-02-24 10:50:00,7.95,14841.0,United Kingdom
571496,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2011-10-17 15:02:00,1.45,13265.0,United Kingdom
552325,22379,RECYCLING BAG RETROSPOT ,10,2011-05-09 09:47:00,2.1,12490.0,France
536570,21781,MA CAMPAGNE CUTLERY BOX,2,2010-12-01 15:35:00,14.95,14496.0,United Kingdom
534006,85099f,JUMBO BAG STRAWBERRY,4,2010-11-19 14:29:00,5.06,,United Kingdom
564353,23346,SPACEBOY BEAKER,12,2011-08-24 15:08:00,1.25,15764.0,United Kingdom
564565,22423,REGENCY CAKESTAND 3 TIER,4,2011-08-26 10:50:00,12.75,14911.0,EIRE
525260,22138,BAKING SET 9 PIECE RETROSPOT ,3,2010-10-04 15:41:00,4.95,13021.0,United Kingdom
530565,22712,CARD DOLLY GIRL ,12,2010-11-03 13:53:00,0.42,12877.0,United Kingdom
575491,21758,VINTAGE SHELLS PRINT,2,2011-11-09 17:47:00,6.45,15531.0,United Kingdom
535571,21411,GINGHAM HEART  DOORSTOP RED,2,2010-11-26 15:36:00,4.25,16904.0,United Kingdom
515324,21539,RED RETROSPOT BUTTER DISH,1,2010-07-11 12:36:00,4.95,13595.0,United Kingdom
537829,22423,REGENCY CAKESTAND 3 TIER,6,2010-12-08 14:46:00,12.75,15498.0,United Kingdom
552457,47566,PARTY BUNTING,4,2011-05-09 14:40:00,4.95,16477.0,United Kingdom
526738,21012,ANTIQUE ALL GLASS CANDLESTICK,4,2010-10-12 18:02:00,2.51,,United Kingdom
567981,21668,RED STRIPE CERAMIC DRAWER KNOB,6,2011-09-23 11:22:00,2.46,,United Kingdom
579787,22456,NATURAL SLATE CHALKBOARD LARGE ,2,2011-11-30 15:33:00,9.96,,United Kingdom
567617,23355,HOT WATER BOTTLE KEEP CALM,8,2011-09-21 12:25:00,4.95,15140.0,United Kingdom
530812,21186,WHITE DOVE HONEYCOMB PAPER GARLAND,2,2010-11-04 13:05:00,1.65,15860.0,United Kingdom
